,genus,phyla,num_isolates,bp,NumContigs,mT1,rT1,sT1,rmT1,mT2,rT2,rmT2,mT3,rT3,rmT3,T4,T2G,pr,prm,rmT?,pT2G,T2G_posthoc,rmTotal,bp_std,NumContigs_std,mT1_std,rT1_std,sT1_std,rmT1_std,mT2_std,rT2_std,rmT2_std,mT3_std,rT3_std,rmT3_std,T4_std,T2G_std,pr_std,prm_std,rmT?_std,pT2G_std,T2G_posthoc_std,rmTotal_std,Morphology
1163,Dactylococcopsis,Cyanobacteria,1,3781008,1,1,3,2,0,20,7,7,0,1,0,2,0,0,0,1,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unicellular
1222,Aphanizomenon,Cyanobacteria,2,5796523,214,2,2.5,3.5,0,21.5,12,8.5,0,1,0,1,0,0,0,0,5.5,5.5,15,77431.02097,156.9777054,1.414213562,0.707106781,2.121320344,0,4.949747468,1.414213562,3.535533906,0,1.414213562,0,0,0,0,0,0,2.121320344,2.121320344,1.414213562,Filamentous
1263,Gloeocapsopsis,Cyanobacteria,1,5443570,137,3,3,3,0,4,3,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1302,Tychonema,Cyanobacteria,1,5081867,271,2,3,2,0,19,4,2,0,0,0,1,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1400,Sphaerospermopsis,Cyanobacteria,1,5609991,2,5,7,4,2,22,12,9,1,3,1,1,1,0,0,0,11,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1417,Spirulina,Cyanobacteria,2,5186876.5,2,2.5,3.5,3,0.5,15,7.5,4.5,0,1,0,1,0,0,0,0,4.5,4,10,193356.228,0,0.707106781,0.707106781,0,0.707106781,8.485281374,0.707106781,2.121320344,0,1.414213562,0,0,0,0,0,0,3.535533906,4.242640687,1.414213562,Filamentous
1434,Chroogloeocystis,Cyanobacteria,1,5009995,43,0,1,0,0,6,5,3,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1467,Anabaena,Cyanobacteria,7,6032149.429,27.14285714,3,4.571428571,2.857142857,0.142857143,14.85714286,7.142857143,4.714285714,0.142857143,0.571428571,0.142857143,2.857142857,1.571428571,0,0,0,3.857142857,3.428571429,12.85714286,715324.9851,38.77898302,1.290994449,3.258688021,1.345185418,0.377964473,5.398412465,2.911389784,1.704336206,0.377964473,0.534522484,0.377964473,0.899735411,0.975900073,0,0,0,3.132015934,3.047247001,4.84522347,Heterocystous
1511,Limnoraphis,Cyanobacteria,1,7314117,361,2,3,3,0,25,14,12,0,0,0,0,0,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1537,Rivularia,Cyanobacteria,1,8728773,3,2,1,3,0,10,10,3,1,1,1,1,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heterocystous
1538,Limnothrix,Cyanobacteria,2,4326143,117.5,1.5,1.5,1,0,8.5,5.5,3.5,0,0.5,0,1,0,0,0,0,1.5,1.5,6,368412.5325,36.06244584,0.707106781,0.707106781,1.414213562,0,2.121320344,2.121320344,0.707106781,0,0.707106781,0,0,0,0,0,0,0.707106781,0.707106781,1.414213562,
1596,Nostoc,Cyanobacteria,41,8500723.39,207.8536585,1.56097561,3.56097561,1.829268293,0.170731707,12.85365854,4.731707317,1.804878049,0.073170732,0.292682927,0.073170732,1.317073171,0.390243902,0,0,0.12195122,1.585365854,1.219512195,5.097560976,944754.2308,247.6275995,1.245969111,2.820006919,1.115850327,0.441726104,3.460931779,2.061848567,1.706158143,0.345705359,0.74979672,0.345705359,0.985875864,0.493864798,0,0,0.399695006,1.182700506,1.084255392,3.238864601,Heterocystous
1616,Prochlorococcus,Cyanobacteria,78,1786609.192,71,0.320512821,0.153846154,0.333333333,0.128205128,0.333333333,0.192307692,0.08974359,0.038461538,0.141025641,0.038461538,0.58974359,0.08974359,0,0,0,0.038461538,0.038461538,0.974358974,451424.592,108.1778238,0.546383381,0.36313652,0.5958006,0.336481966,0.57358899,0.396664414,0.28766401,0.193552415,0.35030076,0.193552415,0.612338448,0.329734149,0,0,0,0.251866162,0.251866162,1.018967634,Unicellular
1624,Merismopedia,Cyanobacteria,1,5204926,254,1,2,2,0,8,6,2,0,1,0,0,1,0,0,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unicellular
1659,Cylindrospermum,Cyanobacteria,1,7610589,4,3,6,3,2,13,5,2,0,0,0,3,1,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heterocystous
1708,Desertifilum,Cyanobacteria,1,6090726,132,2,2,2,1,12,10,2,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1749,Cyanobacterium,Cyanobacteria,3,3952016.333,87.33333333,2.666666667,2.666666667,3,0.333333333,9.333333333,6,3,0,0,0,1,0.333333333,0,0,0,3.333333333,3.333333333,8,471426.7408,74.14400403,2.516611478,2.516611478,2,0.577350269,0.577350269,3.605551275,1,0,0,0,1,0.577350269,0,0,0,2.081665999,2.081665999,1.732050808,
1759,Tolypothrix,Cyanobacteria,6,9459327.167,43.5,1.666666667,3.833333333,2,0.166666667,12.83333333,5.166666667,2.833333333,0,0.5,0,1.666666667,0,0,0,0.166666667,2,2,6.833333333,1261097.479,27.32581197,1.966384161,1.329160136,1.673320053,0.40824829,2.926886856,1.602081979,1.471960144,0,0.547722558,0,1.751190072,0,0,0,0.40824829,1.414213562,1.414213562,4.262237284,Heterocystous
1801,Myxosarcina,Cyanobacteria,1,7069859,76,3,2,2,1,6,0,0,0,0,0,1,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1861,Thermosynechococcus,Cyanobacteria,2,2556960.5,1,0.5,1,0.5,0.5,4,0.5,0,1,2,1,1,0,0,0,0,1.5,1.5,4,52179.5307,0,0.707106781,1.414213562,0.707106781,0.707106781,1.414213562,0.707106781,0,0,1.414213562,0,1.414213562,0,0,0,0,2.121320344,2.121320344,2.828427125,Unicellular
1863,Cyanothece,Cyanobacteria,9,5797522.333,47.77777778,2,3.777777778,2.666666667,0.222222222,14.55555556,7.444444444,4.444444444,0,1.222222222,0,1.888888889,0.222222222,0,0,0.111111111,1,0.888888889,7.777777778,937579.1073,84.99526131,1.414213562,1.986062548,1.936491673,0.440958552,4.824704942,2.297341459,1.509230856,0,1.56347192,0,1.166666667,0.440958552,0,0,0.333333333,1,1.054092553,2.279132389,Unicellular
1890,Arthrospira,Cyanobacteria,10,6165679.8,238.1,4.5,4.6,5.6,1,18.4,14.2,6.3,0,0.6,0,0.9,0,0,0,0.1,2.9,2.9,11.2,501015.3047,331.743358,0.707106781,1.776388346,2.270584849,0.666666667,1.349897115,1.751190072,1.159501809,0,0.516397779,0,0.567646212,0,0,0,0.316227766,1.286683938,1.286683938,2.347575582,Filamentous
1892,Synechococcus,Cyanobacteria,85,2769380.435,26.69411765,0.435294118,0.694117647,0.447058824,0.117647059,1.788235294,0.952941176,0.411764706,0.058823529,0.482352941,0.058823529,0.270588235,0.105882353,0,0,0.023529412,0.482352941,0.470588235,1.458823529,631374.852,52.85132416,0.714593771,0.913177725,0.748106854,0.324101862,3.155094586,1.778883293,1.061155229,0.282545453,0.683335041,0.282545453,0.564594994,0.309513036,0,0,0.15247721,0.765502709,0.733358798,2.22835056,Unicellular
1895,Chlorogloeopsis,Cyanobacteria,2,7700798,174.5,3,3.5,3,0,10,4,2,0,0,0,0,0,0,0,0,2,2,4,72049.93836,19.09188309,0,0.707106781,0,0,1.414213562,0,0,0,0,0,0,0,0,0,0,0,0,0,
1958,Microcoleus,Cyanobacteria,2,7966510,9,3,3.5,2.5,0,11.5,5,2.5,0,1.5,0,2.5,0.5,0,0,0,1.5,1.5,7,0,0,2.828427125,3.535533906,3.535533906,0,0.707106781,2.828427125,3.535533906,0,0.707106781,0,0.707106781,0.707106781,0,0,0,0.707106781,0.707106781,2.828427125,Filamentous
1994,Raphidiopsis,Cyanobacteria,2,3309246,24,0.5,0.5,0.5,0,7,2.5,1.5,0,1,0,0.5,0.5,0,0,0,3,3,5.5,173573.5016,32.52691193,0.707106781,0.707106781,0.707106781,0,4.242640687,2.121320344,0.707106781,0,0,0,0.707106781,0.707106781,0,0,0,0,0,0.707106781,Heterocystous
2000,Phormidesmis,Cyanobacteria,3,5650188.667,166,2.333333333,1.666666667,1.333333333,1,13.33333333,7.333333333,3.666666667,0.666666667,1,0.666666667,2.666666667,0.666666667,0,0,0,4,4,12.66666667,86426.09072,47.50789408,1.154700538,0.577350269,0.577350269,0,2.081665999,0.577350269,0.577350269,0.577350269,0,0.577350269,1.154700538,0.577350269,0,0,0,1.732050808,1.732050808,1.154700538,Filamentous
2050,Geitlerinema,Cyanobacteria,3,5209814.667,77.33333333,1.666666667,2.666666667,1.666666667,0.666666667,6.333333333,1,1,0.333333333,1,0.333333333,1,0,0,0,0,1,1,4,818278.6148,126.1995774,0.577350269,1.154700538,0.577350269,0.577350269,3.055050463,1.732050808,1.732050808,0.577350269,1.732050808,0.577350269,0,0,0,0,0,1,1,2,Filamentous
2106,Hydrococcus,Cyanobacteria,1,5148315,68,0,0,0,0,6,2,2,0,2,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2136,Oscillatoria,Cyanobacteria,3,8223643.333,6,2,3.333333333,1.333333333,0,18.66666667,10,5.333333333,0,0.666666667,0,1,0,0,0,0,2,2,8.333333333,397304.6341,3,1.732050808,2.081665999,0.577350269,0,2.081665999,3,2.516611478,0,1.154700538,0,1,0,0,0,0,1.732050808,1.732050808,2.516611478,Filamentous
2152,Halothece,Cyanobacteria,1,4179170,1,4,4,4,0,15,7,5,0,0,0,0,0,0,0,0,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unicellular
2188,Lyngbya,Cyanobacteria,3,7568276.333,282,2,4,2.666666667,0.333333333,12.33333333,8.333333333,6,0,0.333333333,0,2.333333333,0.666666667,0,0,0,3.333333333,2.666666667,12,1069815.67,164.5843249,1.732050808,1,2.886751346,0.577350269,5.033222957,7.505553499,6,0,0.577350269,0,1.527525232,0.577350269,0,0,0,0.577350269,1.527525232,3.605551275,Filamentous
2220,Moorea,Cyanobacteria,5,8945977.5,24.25,0.2,2.2,0.2,0,9,4.2,3.4,0,0,0,1,0,0,0,0,0,0,4.4,706478.5529,36.8363498,0.447213595,1.303840481,0.447213595,0,2.236067977,0.836660027,0.547722558,0,0,0,0.707106781,0,0,0,0,0,0,0.894427191,Filamentous
2268,Nodosilinea,Cyanobacteria,1,6891283,2,1,3,1,0,5,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Filamentous
2278,Gloeobacter,Cyanobacteria,2,4691905,1,0,1.5,0.5,0,5,1,0.5,0,1,0,0.5,0,0,0,0,1,1,2,46507.82721,0,0,2.121320344,0.707106781,0,5.656854249,1.414213562,0.707106781,0,0,0,0.707106781,0,0,0,0,0,0,1.414213562,Unicellular
2306,Coleofasciculus,Cyanobacteria,1,8679041,57,4,4,5,0,22,13,6,0,0,0,1,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Filamentous
